level_name,level_type,Primary,Secondary,Support,Solution,GM,PU,CompDiff,Hint
Volcano,S,N 1st L,EcT,N1L-ramp,R,3,2,5,Try drawing a ramp
Ultimate Pinball,S,N 1st L,EcT,N1L-ramp,R,3,2,5,Trying drawing a ramp.
UFO2,M,N 1st L,N 3rd L,N3L-bounciness,puffer & bounciness,2,1,3,Try checking bounciness.
Need for Speed,M,N 1st L,N 2nd L,N1L-blower/puffer,Blower,2,2,4,Try using the puffer.
Back and Forth,M,N 1st L,N 2nd L,N1L-blower/puffer,Blower,2,2,4,Try adjusting the blowers.
Twin Peaks,M,N 1st L,EcT,N1L-blower/puffer,Blower,2,2,4,Try adjusting the blowers.
Lighthouse,M,N 1st L,N 3rd L,N1L-blower/puffer,"Puffer, bounciness & G",3,1,4,Try checking bounciness.
Pipes,M,N 2nd L,N 1st L,N2L-puffer/blower-mass,M,1,1,2,Try adjusting the mass slider.
Pizza Hill,M,N 2nd L,EcT,N2L-puffer/blower,Blower,2,2,4,Try adjusting the blowers.
Spiral,M,N 2nd L,N 1st L,N1L-blower/puffer,Blower,2,2,4,Try adjusting the blowers.
Rabbit's Hole,M,N 2nd L,N 1st L,N2L-puffer/blower-mass,M & Puffer,3,1,4,Try adjusting the gravity slider.
Chain,M,N 2nd L,N 1st L,N2L-puffer/blower,Blower,3,1,4,Try adjusting the blowers.
Windy Day,M,N 2nd L,N 1st L,N2L-puffer/blower,Blower,3,1,4,Try adjusting the blowers.
Balance,M,N 2nd L,N 1st L,N1L-blower/puffer,Blower,4,1,5,Try adjusting the blowers.
Blocked,M,N 2nd L,EcT,N2L-air resistance,AR,3,2,5,Try adjusting the air resistance slider.
Blocked by Blocks,M,N 2nd L,EcT,N2L-air resistance,AR& Blower,3,2,5,Try adjusting the air resistance slider.
Kind Cloud,M,N 3rd L,N 2nd L,N3L-bounciness,Bounciness&M,2,1,3,Try checking bounciness.
The Museum,M,N 3rd L,N 2nd L,N3L-bounciness,M&bounciness,2,1,3,Try checking bounciness.
Magic Bean,M,N 3rd L,N 2nd L,N3L-bounciness,Bounciness&M,2,1,3,Try adjusting the mass slider.
Cookie Monster,M,N 3rd L,N 2nd L,N3L-bounciness,"AR,bounciness&G",2,1,3,Try adjusting the air resistance slider and one other.
Flying Brooms,M,N 3rd L,N 1st L,N3L-bounciness,Bounciness,3,1,4,Try checking bounciness.
Angels,M,N 3rd L,N 2nd L,N3L-bounciness,Bounciness & M,3,1,4,Try checking bounciness.
Right between the Eyes,M,N 3rd L,N 2nd L,N3L-bounciness,Bounciness,4,1,5,Try checking bounciness.
Invisible Chef,M,N 3rd L,N 2nd L,N3L-bounciness,M&bounciness,3,1,4,Try checking bounciness.
Under the Candlestick,M,N 3rd L,N 2nd L,N2L-air resistance,M&AR,3,1,4,Try adjusting the mass slider and one other.
Fireworks,M,N 3rd L,n 2nd L,N3L-bounciness,M&AR,4,2,6,Try checking bounciness.
Basement Stairs,M,N 3rd L,N 2nd L,N3L-bounciness,"AR, mass& bounciness",2,1,3,Try adjusting the air resistance slider and one other. Try checking bounciness.
