StudyID,class,teacher,period,valid,valid0,ID1,ID2,Midtest,Posttest,Condition,Number
D3025,r4,r,4,TRUE,TRUE,270dd1,270dd2,POT,ECT,D,3025
E3003,r4,r,4,TRUE,TRUE,294ed1,294ed2,POT,ECT,E,3003
A2967,r4,r,4,TRUE,TRUE,010ad1,010ad2,ECT,POT,A,2967
E2956,r4,r,4,TRUE,TRUE,304ed1,304ed2,POT,ECT,E,2956
B2978,r4,r,4,TRUE,TRUE,084bd1,084bd2,POT,ECT,B,2978
B3036,r4,r,4,TRUE,TRUE,118bd1,118bd2,POT,ECT,B,3036
B2653,r4,r,4,TRUE,TRUE,083bd1,083bd2,POT,ECT,B,2653
C2945,r4,r,4,TRUE,TRUE,173cd1,173cd2,ECT,POT,C,2945
F2923,r4,r,4,TRUE,FALSE,348fd1,348fd2,ECT,POT,F,2923
F2721,r4,r,4,TRUE,TRUE,371fd1,371fd2,ECT,POT,F,2721
F2989,r4,r,4,TRUE,TRUE,364fd1,364fd2,ECT,POT,F,2989
F3047,r4,r,4,TRUE,TRUE,355fd1,355fd2,ECT,POT,F,3047
A2934,r4,r,4,TRUE,TRUE,011ad1,011ad2,ECT,POT,A,2934
C2642,r4,r,4,TRUE,TRUE,191cd1,191cd2,ECT,POT,C,2642
A2901,r4,r,4,TRUE,TRUE,046ad1,046ad2,ECT,POT,A,2901
E1821,r5,r,5,TRUE,TRUE,299ed1,299ed2,POT,ECT,E,1821
E0279,r5,r,5,TRUE,TRUE,295ed1,295ed2,POT,ECT,E,279
D1810,r5,r,5,TRUE,TRUE,220dd1,220dd2,POT,ECT,D,1810
A2899,r5,r,5,TRUE,TRUE,023ad1,023ad2,ECT,POT,A,2899
B2787,r5,r,5,TRUE,TRUE,072bd1,072bd2,POT,ECT,B,2787
C2631,r5,r,5,TRUE,TRUE,166cd1,166cd2,ECT,POT,C,2631
D1854,r5,r,5,TRUE,FALSE,216dd1,216dd2,POT,ECT,D,1854
E0280,r5,r,5,TRUE,TRUE,322ed1,322ed2,POT,ECT,E,280
D0572,r5,r,5,TRUE,TRUE,258dd1,258dd2,POT,ECT,D,572
C2888,r5,r,5,TRUE,TRUE,168cd1,168cd2,ECT,POT,C,2888
D2800,r5,r,5,TRUE,TRUE,246dd1,246dd2,POT,ECT,D,2800
F2866,r5,r,5,TRUE,TRUE,337fd1,337fd2,ECT,POT,F,2866
A2798,r5,r,5,TRUE,TRUE,051ad1,051ad2,ECT,POT,A,2798
D1865,r5,r,5,TRUE,TRUE,254dd1,254dd2,POT,ECT,D,1865
C0268,r5,r,5,TRUE,TRUE,199cd1,199cd2,ECT,POT,C,268
C1843,r5,r,5,TRUE,TRUE,187cd1,187cd2,ECT,POT,C,1843
B2877,r5,r,5,TRUE,TRUE,121bd1,121bd2,POT,ECT,B,2877
A3058,r5,r,5,TRUE,TRUE,058ad1,058ad2,ECT,POT,A,3058
E2776,r5,r,5,TRUE,TRUE,328ed1,328ed2,POT,ECT,E,2776
B2811,r5,r,5,TRUE,TRUE,075bd1,075bd2,POT,ECT,B,2811
D2271,r7,r,7,TRUE,TRUE,249dd1,249dd2,POT,ECT,D,2271
C2844,r7,r,7,TRUE,TRUE,185cd1,185cd2,ECT,POT,C,2844
C0910,r7,r,7,TRUE,TRUE,167cd1,167cd2,ECT,POT,C,910
D1292,r7,r,7,TRUE,TRUE,242dd1,242dd2,POT,ECT,D,1292
B0774,r7,r,7,TRUE,TRUE,090bd1,090bd2,POT,ECT,B,774
E2619,r7,r,7,TRUE,TRUE,306ed1,306ed2,POT,ECT,E,2619
E2394,r7,r,7,TRUE,TRUE,324ed1,324ed2,POT,ECT,E,2394
A3520,h3,h,3,TRUE,TRUE,039ad1,039ad2,ECT,POT,A,3520
E1775,h3,h,3,TRUE,FALSE,323ed1,323ed2,POT,ECT,E,1775
C1809,h3,h,3,TRUE,FALSE,190cd1,190cd2,ECT,POT,C,1809
D1742,h3,h,3,TRUE,TRUE,218dd1,218dd2,POT,ECT,D,1742
B1786,h3,h,3,TRUE,FALSE,076bd1,076bd2,POT,ECT,B,1786
B3531,h3,h,3,TRUE,TRUE,120bd1,120bd2,POT,ECT,B,3531
D2147,h3,h,3,TRUE,FALSE,235dd1,235dd2,POT,ECT,D,2147
D2697,h3,h,3,TRUE,FALSE,267dd1,267dd2,POT,ECT,D,2697
C3496,h3,h,3,TRUE,TRUE,147cd1,147cd2,ECT,POT,C,3496
D3542,h3,h,3,TRUE,FALSE,243dd1,243dd2,POT,ECT,D,3542
B2686,h3,h,3,TRUE,TRUE,089bd1,089bd2,POT,ECT,B,2686
D3508,h3,h,3,TRUE,TRUE,232dd1,232dd2,POT,ECT,D,3508
E2260,h5,h,5,TRUE,TRUE,301ed1,301ed2,POT,ECT,E,2260
C2192,h5,h,5,TRUE,TRUE,198cd1,198cd2,ECT,POT,C,2192
D1911,h5,h,5,TRUE,FALSE,211dd1,211dd2,POT,ECT,D,1911
B1944,h5,h,5,TRUE,FALSE,114bd1,114bd2,POT,ECT,B,1944
E2215,h5,h,5,TRUE,TRUE,275ed1,275ed2,POT,ECT,E,2215
F3069,h5,h,5,TRUE,TRUE,380fd1,380fd2,ECT,POT,F,3069
F2103,h5,h,5,TRUE,TRUE,347fd1,347fd2,ECT,POT,F,2103
B1933,h5,h,5,TRUE,TRUE,091bd1,091bd2,POT,ECT,B,1933
C2158,h5,h,5,TRUE,TRUE,152cd1,152cd2,ECT,POT,C,2158
B2125,h5,h,5,TRUE,TRUE,106bd1,106bd2,POT,ECT,B,2125
F3070,h5,h,5,TRUE,TRUE,338fd1,338fd2,ECT,POT,F,3070
E1966,h5,h,5,TRUE,TRUE,318ed1,318ed2,POT,ECT,E,1966
D1988,h5,h,5,TRUE,FALSE,208dd1,208dd2,POT,ECT,D,1988
D1900,h5,h,5,TRUE,TRUE,265dd1,265dd2,POT,ECT,D,1900
B2114,h5,h,5,TRUE,TRUE,070bd1,070bd2,POT,ECT,B,2114
E2170,h5,h,5,TRUE,TRUE,310ed1,310ed2,POT,ECT,E,2170
A0594,h6,h,6,TRUE,TRUE,017ad1,017ad2,ECT,POT,A,594
A0617,h6,h,6,TRUE,TRUE,020ad1,020ad2,ECT,POT,A,617
A2765,h6,h,6,TRUE,TRUE,005ad1,005ad2,ECT,POT,A,2765
B2743,h6,h,6,TRUE,TRUE,080bd1,080bd2,POT,ECT,B,2743
D0314,h6,h,6,TRUE,FALSE,264dd1,264dd2,POT,ECT,D,314
E2732,h6,h,6,TRUE,TRUE,319ed1,319ed2,POT,ECT,E,2732
D0606,h6,h,6,TRUE,TRUE,228dd1,228dd2,POT,ECT,D,606
E3407,h6,h,6,TRUE,TRUE,320ed1,320ed2,POT,ECT,E,3407
B2754,h6,h,6,TRUE,TRUE,131bd1,131bd2,POT,ECT,B,2754
A2057,t2,t,2,TRUE,TRUE,022ad1,022ad2,ECT,POT,A,2057
A2079,t2,t,2,TRUE,FALSE,030ad1,030ad2,ECT,POT,A,2079
A3193,t2,t,2,TRUE,TRUE,043ad1,043ad2,ECT,POT,A,3193
D2002,t2,t,2,TRUE,TRUE,244dd1,244dd2,POT,ECT,D,2002
B3812,t2,t,2,TRUE,TRUE,102bd1,102bd2,POT,ECT,B,3812
F2024,t2,t,2,TRUE,TRUE,386fd1,386fd2,ECT,POT,F,2024
B2035,t2,t,2,TRUE,TRUE,088bd1,088bd2,POT,ECT,B,2035
C2080,t2,t,2,TRUE,TRUE,171cd1,171cd2,ECT,POT,C,2080
F1898,t2,t,2,TRUE,TRUE,340fd1,340fd2,ECT,POT,F,1898
C3092,t2,t,2,TRUE,TRUE,151cd1,151cd2,ECT,POT,C,3092
B2013,t2,t,2,TRUE,TRUE,130bd1,130bd2,POT,ECT,B,2013
C3834,t2,t,2,TRUE,TRUE,143cd1,143cd2,ECT,POT,C,3834
F3182,t2,t,2,TRUE,TRUE,339fd1,339fd2,ECT,POT,F,3182
F2068,t2,t,2,TRUE,TRUE,369fd1,369fd2,ECT,POT,F,2068
B3249,t3,t,3,TRUE,FALSE,108bd1,108bd2,POT,ECT,B,3249
D3654,t3,t,3,TRUE,FALSE,263dd1,263dd2,POT,ECT,D,3654
C3698,t3,t,3,TRUE,TRUE,174cd1,174cd2,ECT,POT,C,3698
B3216,t3,t,3,TRUE,TRUE,101bd1,101bd2,POT,ECT,B,3216
D3485,t3,t,3,TRUE,TRUE,210dd1,210dd2,POT,ECT,D,3485
E3205,t3,t,3,TRUE,TRUE,303ed1,303ed2,POT,ECT,E,3205
B3227,t3,t,3,TRUE,TRUE,079bd1,079bd2,POT,ECT,B,3227
C3261,t3,t,3,TRUE,TRUE,196cd1,196cd2,ECT,POT,C,3261
A3474,t3,t,3,TRUE,TRUE,001ad1,001ad2,ECT,POT,A,3474
F3755,t3,t,3,TRUE,TRUE,332fd1,332fd2,ECT,POT,F,3755
D3867,t3,t,3,TRUE,TRUE,272dd1,272dd2,POT,ECT,D,3867
B3687,t3,t,3,TRUE,TRUE,129bd1,129bd2,POT,ECT,B,3687
C3665,t3,t,3,TRUE,TRUE,144cd1,144cd2,ECT,POT,C,3665
C3676,t3,t,3,TRUE,TRUE,157cd1,157cd2,ECT,POT,C,3676
B3272,t3,t,3,TRUE,TRUE,113bd1,113bd2,POT,ECT,B,3272
D0785,t7,t,7,TRUE,TRUE,215dd1,215dd2,POT,ECT,D,785
B0763,t7,t,7,TRUE,TRUE,098bd1,098bd2,POT,ECT,B,763
B1146,t7,t,7,TRUE,FALSE,136bd1,136bd2,POT,ECT,B,1146
B1157,t7,t,7,TRUE,TRUE,094bd1,094bd2,POT,ECT,B,1157
E0695,t7,t,7,TRUE,TRUE,288ed1,288ed2,POT,ECT,E,695
E1393,o4,o,4,TRUE,TRUE,283ed1,283ed2,POT,ECT,E,1393
A1461,o4,o,4,TRUE,TRUE,024ad1,024ad2,ECT,POT,A,1461
F1449,o4,o,4,TRUE,TRUE,378fd1,378fd2,ECT,POT,F,1449
F1382,o4,o,4,TRUE,TRUE,368fd1,368fd2,ECT,POT,F,1382
C2473,o4,o,4,TRUE,TRUE,202cd1,202cd2,ECT,POT,C,2473
A1348,o4,o,4,TRUE,TRUE,068ad1,068ad2,ECT,POT,A,1348
D1438,o4,o,4,TRUE,TRUE,252dd1,252dd2,POT,ECT,D,1438
F1450,o4,o,4,TRUE,TRUE,363fd1,363fd2,ECT,POT,F,1450
F1405,o4,o,4,TRUE,TRUE,336fd1,336fd2,ECT,POT,F,1405
A1663,o5,o,5,TRUE,FALSE,056ad1,056ad2,ECT,POT,A,1663
A1685,o5,o,5,TRUE,TRUE,029ad1,029ad2,ECT,POT,A,1685
E1618,o5,o,5,TRUE,TRUE,321ed1,321ed2,POT,ECT,E,1618
D1696,o5,o,5,TRUE,TRUE,205dd1,205dd2,POT,ECT,D,1696
C1135,o5,o,5,TRUE,TRUE,184cd1,184cd2,ECT,POT,C,1135
A1573,o5,o,5,TRUE,TRUE,036ad1,036ad2,ECT,POT,A,1573
F1562,o5,o,5,TRUE,FALSE,346fd1,346fd2,ECT,POT,F,1562
C1168,o5,o,5,TRUE,TRUE,164cd1,164cd2,ECT,POT,C,1168
B1731,o5,o,5,TRUE,FALSE,104bd1,104bd2,POT,ECT,B,1731
D1078,o5,o,5,TRUE,TRUE,225dd1,225dd2,POT,ECT,D,1078
A1753,o5,o,5,TRUE,TRUE,028ad1,028ad2,ECT,POT,A,1753
F1528,o5,o,5,TRUE,FALSE,387fd1,387fd2,ECT,POT,F,1528
D1641,o6,o,6,TRUE,TRUE,262dd1,262dd2,POT,ECT,D,1641
E0943,o6,o,6,TRUE,TRUE,277ed1,277ed2,POT,ECT,E,943
D0932,o6,o,6,TRUE,TRUE,212dd1,212dd2,POT,ECT,D,932
A0954,o6,o,6,TRUE,TRUE,057ad1,057ad2,ECT,POT,A,954
C0842,o6,o,6,TRUE,TRUE,177cd1,177cd2,ECT,POT,C,842
D0921,o6,o,6,TRUE,TRUE,240dd1,240dd2,POT,ECT,D,921
F0886,o6,o,6,TRUE,TRUE,370fd1,370fd2,ECT,POT,F,886
A0897,o6,o,6,TRUE,TRUE,008ad1,008ad2,ECT,POT,A,897
D1056,o6,o,6,TRUE,TRUE,266dd1,266dd2,POT,ECT,D,1056
E1067,o6,o,6,TRUE,FALSE,311ed1,311ed2,POT,ECT,E,1067
D0875,o6,o,6,TRUE,TRUE,238dd1,238dd2,POT,ECT,D,875
D1540,o6,o,6,TRUE,TRUE,221dd1,221dd2,POT,ECT,D,1540
C0820,o6,o,6,TRUE,TRUE,188cd1,188cd2,ECT,POT,C,820
